"Отметка времени","If you weren't on master; what branch were you on? Please use the full code name of the branch, not short hand. The 'origin/' isn't needed.","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","Was this an observer game?","If this game was NOT an observer, which nation did you play? Please use the tag of the nation in capital letters.","If you did switch to any other nation, who was it? Please use the tag of the nation in capital letters. Note this is only if you legally switched, console commands don't count here.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Did you crash?","If you did crash...","Were you in single-player or multi-player?","Who won the Spanish Civil War? If one side is close to winning put them down.","When did the Spanish Civil War end?","Who won the Indochinese civil war? If one side is close to winning put them down.","When did the Indochinese civil war end?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","Who won the French-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If Russia was socialist, who won the Russo-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If Russia was NOT socialist, who won the Russo-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war? If one side is close to winning put them down.","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war? If one side is close to winning put them down.","Who won the Fourth Balkan War? If one side is close to winning put them down.","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","If someone intervened in the League War, who was it?"
"2022/05/17 8:29:37 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","Carlists","1942","Indochina","1937","","","PSA","","","1940","Yes, sided with PSA","","","","","","","1942","","No","1940","","","","","1941","","1941","No","Yes, was repelled","Yes, successfully","Two Sicilies","Chile","1938","","The Pact","","The Ottoman Empire","","","Yes, and OTT won the war","Kurdistan;Armenia","Split between starting nations","No","1939","Did not happen","Did not happen","Did not happen","Did not happen","1939","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","","","Ma Clique","1941","Nanjing Clique","1936",""
"2022/05/17 8:29:51 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","Kingdom of Spain","1938","Indochina","1937","","","USA","","","1939","Yes, sided with USA","","Reichspakt","Reichspakt","","","1942","1942","","No","1940","","","","","Did not join","","1941","No","Yes, successfully","Yes, successfully","Split between starting nations","Argentina","1942","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Hejaz;Cyprus;Armenia;Tripolitania","Split between starting nations","Yes","","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1942","Did not happen","Yes, someone else started the war","Nobody","","","","Ma Clique","1942","Anqing Clique","1936",""
"2022/05/17 8:30:05 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","CNT-FAI","1940","Indochina","","","","","","CSA","1944","Yes, declared war on CSA","","Internationale","Russian Socialist Republic","","1943","","","","No","1940","","","1944","Internationale (not France)","1941","","1941","No","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1939","","The Pact","","The Ottoman Empire","","","No","Kurdistan;Armenia;Cyrenaica","Bharatiya Commune","Yes","Did not happen","Did not happen","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","No","Nobody","","Kumul Khanate","1938","","","Nanjing Clique","1936",""
"2022/05/17 8:30:19 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-17","No","","Single-player","CNT-FAI","1937","Indochina","1937","","","","CSA","","1942","Yes, sided with PSA","","Internationale","","Russia","","","","","No","1940","","","1942","Internationale (not France)","1941","","1941","","No","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","","","","","No","Iraq;Hejaz;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","1938","1941","Did not happen","Did not happen","Did not happen","1944","Did not happen","1941","Yes, someone else started the war","Nobody","Could not push into China","Republic of East Turkestan","1940","Mongolia and Tibet","1941","Anqing Clique","1936",""
"2022/05/17 8:30:32 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-17","No","","Single-player","Kingdom of Spain","1939","Indochina","1938","","","","","","","No","","Internationale","Russian Socialist Republic","","1941","","","","No","1940","","","1942","Internationale (not France)","1941","","1941","No","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","1938","1940","","Did not happen","Did not happen","1940","","Did not happen","Yes, someone else started the war","Nobody","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Anqing Clique","1936",""
"2022/05/17 8:30:45 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1943","2022-05-17","No","","Single-player","Kingdom of Spain","1939","","","","","","","","","No","","","","","","","1942","","No","1940","","","","","1941","","1941","No","Yes, was repelled","Yes, successfully","Two Sicilies","Chile","1938","","The Pact","","The Ottoman Empire","","","No","Kurdistan;Cyrenaica","Bharatiya Commune","No","Did not happen","Did not happen","Did not happen","1941","1940","Did not happen","Did not happen","Did not happen","No","Nobody","","","","","","","",""
"2022/05/17 8:30:57 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1941","2022-05-17","No","","Single-player","CNT-FAI","1938","Indochina","1938","","","","","","","No","","","","","","","","","No","1939","","","","","Did not join","","Did not join","","No","Yes, was repelled","Socialist Republic of Italy","Chile","1938","","The Pact","","","","","No","Iraq;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1939","Did not happen","Did not happen","","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Xinjiang Clique","1937","","","Nanjing Clique","1936",""
"2022/05/24 9:06:58 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","CNT-FAI","1941","Indochina","1937","","","","","","","Yes, declared war on CSA","","Reichspakt","","Reichspakt","","1944","","1943","No","1940","","","","","1939","","","","Yes, successfully","No","ANI Italy","Argentina","1938","","","","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1939","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Did not happen","Yes, Japan started the war","Nobody","","","","Mongolia and Tibet","1941","Nanjing Clique","1936",""
"2022/05/24 9:07:12 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Carlists","1941","Indochina","1939","","","USA","","","1942","Yes, sided with USA","","","","Reichspakt","","","","","No","Did not join","","","","","1941","","1940","No","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","The Ottoman Empire","","","","No","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","","Did not happen","Did not happen","Did not happen","1938","1939","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Nanjing Clique","1936",""
"2022/05/24 9:07:26 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Carlists","1940","Indochina","1936","","","USA","","","1942","No","","Internationale","","Russia","1940","","","","No","1940","","","1941","Internationale (not France)","1939","1940","1939","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Kumul Khanate","1943","Ma Clique","1941","Shandong Clique","1937",""
"2022/05/24 9:07:40 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1939","GEA (with or without Vietnam)","1937","","USA","","","","1939","No","","Internationale","","Russia","1940","","","","No","1939","","","1941","Internationale (not France)","1939","1940","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","","","","","No","Kurdistan;Assyria;Armenia;Cyrenaica","Bharatiya Commune","No","1940","1945","Did not happen","1939","1945","Did not happen","","1945","Yes, Russia started the war","Nobody","Could not push into China","Republic of East Turkestan","1939","Mongolia and Tibet","1941","Shandong Clique","1937",""
"2022/05/24 9:07:54 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","","","GEA (with or without Vietnam)","1936","","","","","CSA","1939","Yes, declared war on CSA","","Internationale","","Russia","1941","","","","Yes, before WK2","Did not join","1942","CSA","1941","Internationale (not France)","1940","1941","1940","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","","","","","No","Kurdistan;Cyprus;Armenia;Cyrenaica","Bharatiya Commune","Yes","1939","","Did not happen","Did not happen","1938","Did not happen","Did not happen","Did not happen","Yes, Russia started the war","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Nanjing Clique","1936",""
"2022/05/24 9:08:08 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","CNT-FAI","1939","Indochina","1937","","","USA","","","1943","Yes, sided with PSA","","Internationale","","Russia","1941","","","","No","1940","","","1941","Someone else","1941","1942","1941","Yes, during or after WK2","Yes, was repelled","","Split between starting nations","","","","The Pact","","","","","No","Armenia;Tripolitania","Split between starting nations","Yes","1939","1941","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","Yes, Russia started the war","Nobody","Conquered only the coastal states","Republic of East Turkestan","1938","Ma Clique","1940","Left Kuomintang","1937",""
"2022/05/24 9:08:22 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Carlists","1940","Indochina","1937","","USA","","","","1941","Yes, declared war on CSA","","Reichspakt","","Russia","1942","1944","1944","","No","Did not join","","","","","1941","1942","1941","Yes, during or after WK2","Yes, successfully","Yes, successfully","Socialist Republic of Italy","","","","The Pact","","","","","No","Hejaz;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Did not happen","Did not happen","Did not happen","Did not happen","1942","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","","","","","Nanjing Clique","1936",""
"2022/05/24 9:08:36 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","","GEA (with or without Vietnam)","1936","","","","","TEX","1941","Yes, declared war on CSA","","Internationale","","Russia","1941","","","","Yes, before WK2","Did not join","1943","Internationale","1941","Internationale (not France)","1939","1941","","","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1937","","Bulgaria","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","Yes","1938","1944","","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, Russia started the war","Nobody","Conquered only the coastal states","","","Mongolia and Tibet","1938","Anqing Clique","1936",""
"2022/05/24 9:08:51 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Carlists","1944","Indochina","1938","","","CSA","","","1943","Yes, sided with PSA","","Internationale","","Russia","1941","","","","No","Did not join","","","1942","Internationale (not France)","1940","1941","1940","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","","","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","1939","","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","","","Mongolia and Tibet","1941","Nanjing Clique","1936",""
"2022/05/24 9:09:04 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","CNT-FAI","1938","Indochina","1937","","USA","","","","1939","Yes, sided with USA","","Reichspakt","","Russia","1942","1944","","","No","1940","","","","","1941","1943","1941","Yes, before WK2","Yes, successfully","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","","The Ottoman Empire","","","No","Armenia;Cyrenaica","Bharatiya Commune","Yes","1938","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","","No","Nobody","","Kumul Khanate","1943","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/24 9:09:18 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Carlists","1942","","","","","USA","","","1939","Yes, sided with USA","","","","Reichspakt","","","1941","1944","No","1940","","","","","Did not join","","Did not join","","No","Yes, successfully","Sardinia","Argentina","1939","","The Pact","","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","Did not happen","Did not happen","Did not happen","","1941","Did not happen","Did not happen","Did not happen","No","Nobody","","","","","","Nanjing Clique","1937",""
"2022/05/24 9:09:32 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","CNT-FAI","1940","Indochina","1936","","","","","NEE","1941","Yes, sided with PSA","","","","","","","1943","","No","1940","","","","","1940","","1940","No","Yes, was repelled","Yes, successfully","Sardinia","Peaceful Reunification","","","The Pact","The Ottoman Empire","","","","No","Armenia;Tripolitania","Princely Federation/Hyderabad","No","1940","Did not happen","Did not happen","1939","1940","Did not happen","Did not happen","1942","Yes, someone else started the war","Nobody","","","","Mongolia and Tibet","1937","Nanjing Clique","1937",""
"2022/05/24 9:09:45 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1946","2022-05-24","No","","Single-player","Kingdom of Spain","1939","","","","USA","","","","1941","Yes, declared war on CSA","","Internationale","","Russia","1939","","","","No","Did not join","","","1941","Internationale (not France)","1939","1940","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Split between starting nations","Argentina","1944","","The Pact","","","","","No","Iraq;Hejaz;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Did not happen","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","No","Nobody","","Kumul Khanate","1937","","","Anqing Clique","1936",""
"2022/05/24 9:09:59 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","CNT-FAI","1941","Indochina","1938","","","","","NEE","1940","Yes, declared war on CSA","","Internationale","Russian Socialist Republic","","1941","","","","No","1940","","","1942","Internationale (not France)","1940","","1940","","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1944","","The Pact","The Ottoman Empire","","","","No","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","1938","1944","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","","","Mongolia and Tibet","1940","Anqing Clique","1936",""
"2022/05/24 9:10:13 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1939","Indochina","1938","","","","USA","","1941","Yes, sided with PSA","","","","Reichspakt","","","1941","","No","1940","","","1944","Germany/the Reichspakt","1940","","","","Yes, was repelled","","Italian Republic/Federation","Argentina","1942","","Bulgaria","","","","","No","Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","1939","1941","Did not happen","1942","Did not happen","Did not happen","1944","Did not happen","No","Nobody","Could not push into China","","","Ma Clique","1941","Nanjing Clique","1936",""
"2022/05/24 9:10:27 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1946","2022-05-24","No","","Single-player","Carlists","","Indochina","1937","","","","","CSA","1943","Yes, sided with PSA","","Internationale","","Russia","1941","","","","No","Did not join","","","1941","Internationale (not France)","1941","1941","1941","Yes, during or after WK2","No","No","Socialist Republic of Italy","","","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","1941","1942","","1938","1939","Did not happen","Did not happen","1943","Yes, Russia started the war","Nobody","Could not push into China","Xinjiang Clique","1937","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/24 9:10:41 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1943","2022-05-24","No","","Single-player","Carlists","","Indochina","1938","","","USA","","","1939","Yes, sided with USA","","Reichspakt","","Reichspakt","","1941","","","No","1940","","","","","1940","","1940","No","Yes, successfully","Yes, was repelled","Split between starting nations","Argentina","","","The Pact","","","","","No","Iraq;Kurdistan;Armenia;Cyrenaica","Bharatiya Commune","Yes","Did not happen","Did not happen","Did not happen","Did not happen","1940","1938","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1938","Anqing Clique","1936",""
"2022/05/24 9:10:55 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1941","Indochina","1936","","","","","NEE","1942","Yes, declared war on CSA","","","","","","","1942","","No","1940","","","1944","Germany/the Reichspakt","1942","","1942","No","Yes, was repelled","Yes, successfully","Sardinia","","","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Hejaz;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Did not happen","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","1941","Mongolia and Tibet","1939","Anqing Clique","1936",""
"2022/05/24 9:11:08 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Kingdom of Spain","1939","","","","","","","CSA","1943","No","","Internationale","Russian Socialist Republic","","1941","","","","No","1940","","","1942","Internationale (not France)","1940","1941","1940","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1941","","The Pact","","","","","No","Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1941","1942","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","Conquered only the coastal states","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Nanjing Clique","1936",""
"2022/05/24 9:11:22 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","CNT-FAI","1943","Indochina","1936","","","TEX","","","1944","Yes, sided with PSA","","Internationale","","Russia","1943","","","","No","1940","","","","","1940","","1940","No","Yes, was repelled","No","Split between starting nations","Argentina","1938","","The Pact","","","","","No","Armenia;Tripolitania;Cyrenaica","Dominion of India","Yes","1939","1941","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, Russia started the war","Nobody","Conquered only the coastal states","","","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/24 9:14:54 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","CNT-FAI","1942","Indochina","1937","","","","","","","No","","","","","","","","","No","1940","","","","","1941","","1941","No","Yes, was repelled","No","Split between starting nations","Argentina","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1939","1941","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Republic of East Turkestan","1942","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/24 9:15:09 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1940","Indochina","1937","USA","","","","","1938","Yes, sided with USA","","Internationale","","Russia","1941","","1940","","No","1939","","","","","Did not join","1940","1939","Yes, during or after WK2","Yes, was repelled","Yes, successfully","Italian Republic/Federation","Argentina","","","The Pact","","","The Ottoman Empire","","No","Hejaz;Assyria;Armenia;Cyrenaica","Dominion of India","No","1941","Did not happen","Did not happen","","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/24 9:15:22 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","CNT-FAI","1938","Indochina","1936","","","","","CSA","1941","Yes, declared war on CSA","","","","","","","1942","","No","1940","","","","","1940","","1940","No","Yes, was repelled","","Italian Republic/Federation","Argentina","1940","","The Pact","","","","","No","Assyria;Armenia;Cyrenaica","Split between starting nations","No","1939","1940","Did not happen","Did not happen","Did not happen","Did not happen","1942","Did not happen","Yes, someone else started the war","Nobody","Conquered only the coastal states","Republic of East Turkestan","1937","","","Nanjing Clique","1936",""
"2022/05/24 9:15:35 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1946","2022-05-24","No","","Single-player","Carlists","1940","GEA (with or without Vietnam)","1936","","","","","","","Yes, sided with PSA","","Reichspakt","","","","1942","","","No","1940","","","","","1939","","","","Yes, successfully","Yes, was repelled","Split between starting nations","Argentina","1938","","Bulgaria","","The Ottoman Empire","","","No","Kurdistan;Armenia","Split between starting nations","No","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Nanjing Clique","1936",""
"2022/05/24 9:15:48 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1941","2022-05-24","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1939","","","","","","","No","","Internationale","","Russia","1941","","","","No","1940","","","","","1940","1940","1940","Yes, during or after WK2","No","Yes, was repelled","Split between starting nations","","","","The Pact","","","","","No","Hejaz;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1939","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","","","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/24 9:16:02 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Kingdom of Spain","1941","","","","","PSA","","","","Yes, sided with PSA","","Internationale","","Russia","1940","","","","No","1940","","","1941","Internationale (not France)","1939","1940","1939","","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1938","","The Pact","","","","","No","Iraq;Kurdistan;Assyria;Armenia;Cyrenaica","Split between starting nations","Yes","Did not happen","Did not happen","Did not happen","1940","Did not happen","1942","Did not happen","Did not happen","No","Nobody","","","","Mongolia and Tibet","1940","Nanjing Clique","1936",""
"2022/05/24 9:16:16 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","CNT-FAI","1943","Indochina","1937","","","","","","","No","","Internationale","","Russia","1941","","","","Yes, during or after WK2","1939","1943","Internationale","1942","Internationale (not France)","1939","1941","1939","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1938","Argentina","The Pact","","","","","No","Iraq;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","1939","1943","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1943","Yes, Russia started the war","Nobody","Could not push into China","","","","","Nanjing Clique","1936",""
"2022/05/24 9:16:30 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Kingdom of Spain","1941","Indochina","1937","","","","","","","Yes, declared war on CSA","","","","Reichspakt","","","1941","","No","1940","","","","","1940","","1940","","Yes, was repelled","Yes, successfully","Two Sicilies","Argentina","1942","","The Pact","The Ottoman Empire","","","","No","Hejaz;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","","1941","Did not happen","Did not happen","Did not happen","1939","Did not happen","Did not happen","Yes, someone else started the war","Nobody","Conquered only the coastal states","Republic of East Turkestan","1940","Mongolia and Tibet","1940","Nanjing Clique","1936",""
"2022/05/24 9:16:43 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Carlists","1942","Indochina","1937","","","","","","","Yes, declared war on CSA","","Internationale","","Russia","1942","","","","No","1940","","","1943","Internationale (not France)","1940","1943","1940","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Split between starting nations","","","","The Pact","","","","","No","Kurdistan;Armenia;Cyrenaica","Bharatiya Commune","No","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1944","Yes, Russia started the war","","","Republic of East Turkestan","1939","Mongolia and Tibet","1941","Nanjing Clique","1936",""
"2022/05/24 9:16:56 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1942","","","","","","","","","Yes, declared war on CSA","","Reichspakt","","","","1942","1944","","No","1940","","","","","1940","","1940","No","Yes, successfully","Yes, successfully","Sardinia","","","Brazil","The Pact","","","","","No","Armenia;Cyrenaica","Dominion of India","Yes","1940","1941","Did not happen","Did not happen","1944","Did not happen","Did not happen","1943","No","Nobody","Could not push into China","","","Mongolia and Tibet","1940","Anqing Clique","1936",""
"2022/05/24 9:17:11 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","CNT-FAI","1937","Indochina","1937","","","USA","","","1943","Yes, sided with PSA","","Internationale","","Russia","1940","","","","Yes, during or after WK2","1940","1943","Internationale","1940","Internationale (not France)","1939","1940","1939","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1939","","The Pact","","","","","No","Armenia;Cyrenaica","Puppeted by a foreign power","No","1939","1943","1944","1943","Did not happen","Did not happen","Did not happen","1944","Yes, Russia started the war","Nobody","Pushed back (with or without the Fading Sun)","Republic of East Turkestan","1941","Ma Clique","1939","Nanjing Clique","1936",""
