"Отметка времени","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","When did the 2nd Weltkrieg end?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","Who won the Fourth Balkan War? If one side is close to winning put them down.","When did the Fourth Balkan War end?","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","When did the War in the Desert end?","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?"
"2022/11/05 6:01:55 PM GMT+4","Dev","The Alpha Dog","1945","CNT-FAI","1938, quarter 1","GEA (with or without Vietnam)","1938, quarter 1","TEX","","","","","TEX","1941, quarter 4","No","Mid 1940","1941, quarter 4","Reichspakt","Nobody","","1941, quarter 4","","","No","1940, quarter 3","","","","","Did not join","","Did not join","","No","No","Socialist Republic of Italy, on its own","Chile","1938, quarter 1","Did not happen","The Pact","1938, quarter 1","The Cairo Pact","","","","1944, quarter 1","No","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania","Split between starting nations","No","Belgrade Pact","1938, quarter 3","Did not happen","Did not happen","Did not happen","1942","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Xinjiang Clique","1937","Ma Clique","1941","Left Kuomintang","Quarter 1, 1937"
"2022/11/05 6:02:08 PM GMT+4","Dev","The Alpha Dog","1944","Carlists","1938, quarter 4","GEA (with or without Vietnam)","1937, quarter 3","USA","","","USA","","","1942, quarter 3","No","Late 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 4","","","","","1941, quarter 4","","1942, quarter 1","No","Yes, was repelled","No","Socialist Republic of Italy, on its own","Chile","1938, quarter 3","Did not happen","The Pact","1937, quarter 3","The Cairo Pact","","","","1939, quarter 1","Yes, but OTT still lost the war","Iraq;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Moscow Accord","Did not happen","Did not happen","1944","1940","1942","1942","Did not happen","Did not happen","No","Nobody","Pushed back (with or without the Fading Sun)","Kumul Khanate","1937","Ma Clique","1940","Anqing Clique","Quarter 1, 1937"
"2022/11/05 6:02:22 PM GMT+4","Dev","The Alpha Dog","1945","CNT-FAI","1937, quarter 4","GEA (with or without Vietnam)","1937, quarter 1","PSA","","","PSA","","","1942, quarter 2","Yes, declared war on CSA","Late 1940","1942, quarter 3","Internationale","Russia","1942, quarter 3","","","","No","1941, quarter 1","","","","","1942, quarter 1","1942, quarter 4","1942, quarter 1","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy, with INT aid","Argentina","1939, quarter 1","Did not happen","The Pact","1937, quarter 3","The Cairo Pact","","","","1939, quarter 4","Yes, but OTT still lost the war","Iraq;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Belgrade Pact","Did not happen","Did not happen","Did not happen","1940","1940","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1940","Nanjing Clique","Quarter 1, 1937"
"2022/11/05 6:02:35 PM GMT+4","Dev","The Alpha Dog","1943","CNT-FAI","1937, quarter 4","GEA (with or without Vietnam)","1937, quarter 4","CSA","CSA","","","","","1940, quarter 2","Yes, sided with NEE","Mid 1940","Did not end","Nobody","Nobody","","","","","Yes, during or after WK2","1940, quarter 2","1941, quarter 3","CSA","1943, quarter 2","Commune of France","1940, quarter 2","","1940, quarter 2","No","Yes, was repelled","No","Split between starting nations","Chile","1938, quarter 2","Did not happen","The Pact","1937, quarter 2","The Cairo Pact","","Nobody","","1939, quarter 3","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Tripolitania","Bharatiya Commune","No","Moscow Accord","1939, quarter 1","1941","Did not happen","1940","Did not happen","1943","1939","Did not happen","Started by Japan","Nobody","Conquered all of China","Republic of East Turkestan","1943","Ma Clique","1940","Left Kuomintang","Quarter 1, 1937"
"2022/11/05 6:02:49 PM GMT+4","Dev","The Alpha Dog","1944","CNT-FAI","1938, quarter 1","GEA (with or without Vietnam)","1936, quarter 4","CSA","","","","","CSA","1943, quarter 1","No","Early 1940","1941, quarter 2","Internationale","Russia","1941, quarter 2","","","","Yes, during or after WK2","1941, quarter 1","1944, quarter 1","CSA","1941, quarter 4","Someone else","1940, quarter 3","1941, quarter 2","1940, quarter 3","Yes, during or after WK2","No","No","Socialist Republic of Italy, on its own","Chile","1938, quarter 1","Argentina","The Pact","1937, quarter 3","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","Yes","Belgrade Pact","Did not happen","Did not happen","Did not happen","1941","1942","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Kumul Khanate","1940","Mongolia and Tibet","1939","Left Kuomintang","Quarter 1, 1937"
"2022/11/05 6:03:02 PM GMT+4","Dev","The Alpha Dog","1945","CNT-FAI","1937, quarter 4","GEA (with or without Vietnam)","1936, quarter 4","USA","USA","","","","","1942, quarter 2","Yes, sided with NEE","Mid 1939","1942, quarter 4","Internationale","Russia","1942, quarter 4","","","","No","Did not join","","","","","1940, quarter 4","1942, quarter 4","1940, quarter 4","Yes, during or after WK2","No","No","Socialist Republic of Italy, on its own","Chile","1938, quarter 3","Argentina","The Pact","1937, quarter 3","","","","The Cairo Pact","1943, quarter 4","No","Kurdistan;Armenia","Bharatiya Commune","No","Moscow Accord","1939, quarter 2","1944","Did not happen","1942","Did not happen","Did not happen","1941","Did not happen","No","Nobody","Conquered only the coastal states","Republic of East Turkestan","1938","Ma Clique","1943","Left Kuomintang","Quarter 4, 1936"
"2022/11/05 6:03:15 PM GMT+4","Dev","The Alpha Dog","1944","CNT-FAI","1938, quarter 1","Nobody","Did not end","NEE","","","","","NEE","1940, quarter 4","Yes, sided with NEE","1941 or after","Did not end","Nobody","Nobody","","","","","No","1941, quarter 2","","","","","1943, quarter 2","","1943, quarter 3","No","No","No","Split between starting nations","Chile","1938, quarter 1","Did not happen","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Cyrenaica","Bharatiya Commune","Yes","Third Internationale","Did not happen","Did not happen","Did not happen","1939","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1940","Mongolia and Tibet","1939","Left Kuomintang","Quarter 1, 1937"
"2022/11/05 6:03:27 PM GMT+4","Dev","The Alpha Dog","1944","CNT-FAI","1938, quarter 1","GEA (with or without Vietnam)","1938, quarter 1","PSA","","","PSA","","","1942, quarter 2","Yes, sided with PSA","Late 1940","Did not end","Nobody","Nobody","","","1944, quarter 4","","No","1942, quarter 2","","","","","Did not join","","Did not join","","Yes, was repelled","Yes, successfully","Split between starting nations","Chile","1938, quarter 2","Did not happen","The Pact","1938, quarter 1","","Nobody","","","Did not end","No","Iraq;Kurdistan;Armenia","Princely Federation/Hyderabad","No","Belgrade Pact","Did not happen","Did not happen","Did not happen","1939","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Xinjiang Clique","1937","Mongolia and Tibet","1939","Left Kuomintang","Quarter 4, 1936"
"2022/11/05 6:03:41 PM GMT+4","Dev","The Alpha Dog","1944","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1937, quarter 4","CSA","","","CSA","","","1941, quarter 4","No","Early 1939","1942, quarter 3","Reichspakt","Reichspakt","","1942, quarter 3","","","Yes, during or after WK2","1940, quarter 1","1942, quarter 4","CSA","","","1943, quarter 4","","Did not join","","Yes, successfully","No","Split between starting nations","Chile","1938, quarter 2","Did not happen","The Pact","1937, quarter 1","","Nobody","","","Did not end","No","Kurdistan;Armenia;Cyrenaica","Bharatiya Commune","Yes","Reichspakt","1942, quarter 2","Did not happen","Did not happen","Did not happen","1943","1942","Did not happen","Did not happen","Started by Transamur","Nobody","","Xinjiang Clique","1937","Mongolia and Tibet","1940","Nanjing Clique","Quarter 1, 1937"
"2022/11/05 6:03:54 PM GMT+4","Dev","The Alpha Dog","1944","CNT-FAI","1937, quarter 4","Indochina","1940, quarter 2","CSA","","","CSA","","","1942, quarter 1","No","Mid 1940","Did not end","Nobody","Nobody","","","","","Yes, during or after WK2","1940, quarter 2","1943, quarter 1","CSA","1942, quarter 1","Commune of France","Did not join","","Did not join","","Yes, was repelled","No","Split between starting nations","Chile","1938, quarter 3","Did not happen","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 4","No","Cyprus;Armenia;Tripolitania","Bharatiya Commune","No","Moscow Accord","Did not happen","Did not happen","Did not happen","1940","1942","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1938","Ma Clique","1939","Left Kuomintang","Quarter 1, 1937"
"2022/11/05 6:04:12 PM GMT+4","Dev","The Alpha Dog","1944","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1938, quarter 1","CSA","","","CSA","","","1941, quarter 2","No","Late 1940","Did not end","Nobody","Nobody","","","","","Yes, during or after WK2","1941, quarter 1","1942, quarter 2","CSA","1943, quarter 1","Commune of France","Did not join","","Did not join","","Yes, was repelled","No","ANI Italy","Chile","1938, quarter 1","Did not happen","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 4","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Third Internationale","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1939","Ma Clique","1942","Left Kuomintang","Quarter 1, 1937"
"2022/11/05 6:04:30 PM GMT+4","Dev","The Alpha Dog","1944","CNT-FAI","1937, quarter 2","GEA (with or without Vietnam)","1939, quarter 2","USA","","","USA","","","1942, quarter 1","No","Late 1940","Did not end","Nobody","Nobody","","","","","No","1941, quarter 1","","","","","1940, quarter 4","","1940, quarter 4","No","No","No","Split between starting nations","Chile","1938, quarter 3","Argentina","The Pact","1939, quarter 1","The Cairo Pact","","","","1939, quarter 3","No","Hejaz;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","Moscow Accord","1938, quarter 2","1943","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","Could not push into China","Republic of East Turkestan","1943","Mongolia and Tibet","1940","Nanjing Clique","Quarter 1, 1937"
"2022/11/05 6:04:48 PM GMT+4","Dev","The Alpha Dog","1944","CNT-FAI","1938, quarter 2","Indochina","1936, quarter 4","Nobody","","","","Nobody","","Did not end","Yes, declared war on CSA","Late 1940","1942, quarter 3","Reichspakt","Reichspakt","","1942, quarter 3","","","No","1940, quarter 4","","","1944, quarter 2","Commune of France","Did not join","","Did not join","","Yes, successfully","No","Split between starting nations","Chile","1938, quarter 1","Brazil","The Pact","1937, quarter 3","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","1943","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1941","Nanjing Clique","Quarter 1, 1937"
"2022/11/05 6:05:02 PM GMT+4","Dev","The Alpha Dog","1944","CNT-FAI","1938, quarter 1","GEA (with or without Vietnam)","1937, quarter 1","PSA","","","PSA","","","1944, quarter 2","Yes, sided with USA","Early 1939","Did not end","Nobody","Nobody","","","","","No","1944, quarter 3","","","1942, quarter 1","Someone else","1941, quarter 3","","1941, quarter 3","No","No","No","Split between starting nations","Chile","1938, quarter 1","Did not happen","","1937, quarter 2","The Cairo Pact","","","","1939, quarter 2","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Moscow Accord","1937, quarter 4","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Japan","Nobody","","Kumul Khanate","1938","Mongolia and Tibet","1943","Anqing Clique","Quarter 4, 1936"
"2022/11/05 6:05:18 PM GMT+4","Dev","The Alpha Dog","1943","CNT-FAI","1937, quarter 2","Indochina","1940, quarter 4","CSA","","","","CSA","","1943, quarter 3","Yes, sided with PSA","Early 1939","1941, quarter 2","Internationale","Russia","1941, quarter 2","","","","No","1940, quarter 1","","","1942, quarter 3","Commune of France","1939, quarter 2","1942, quarter 3","1939, quarter 2","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy, with INT aid","Chile","1938, quarter 2","Did not happen","The Pact","1938, quarter 2","The Cairo Pact","","Nobody","","1941, quarter 3","Yes, but OTT still lost the war","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","Yes","Moscow Accord","1937, quarter 1","1943","Did not happen","Did not happen","1940","1938","1942","","Started by Russia","Nobody","Conquered only the coastal states","Kumul Khanate","1937","Ma Clique","1939","Anqing Clique","Quarter 2, 1937"
"2022/11/05 6:05:38 PM GMT+4","Dev","The Alpha Dog","1944","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1937, quarter 2","CSA","","","","","CSA","1941, quarter 3","Yes, sided with PSA","Late 1940","1943, quarter 1","Reichspakt","Reichspakt","","1943, quarter 1","","","Yes, during or after WK2","1941, quarter 1","1942, quarter 3","Someone else","","","1941, quarter 1","","1941, quarter 1","No","Yes, successfully","No","Two Sicilies","Chile","1938, quarter 2","Brazil","The Pact","1937, quarter 4","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania","Bharatiya Commune","No","Reichspakt","1938, quarter 4","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1940","","1939","Anqing Clique","Quarter 4, 1936"
"2022/11/05 6:05:57 PM GMT+4","Dev","The Alpha Dog","1945","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1937, quarter 1","CSA","","","","CSA","","1942, quarter 3","Yes, sided with USA","Mid 1940","1942, quarter 3","Reichspakt","Nobody","","1942, quarter 3","","","Yes, before WK2","Did not join","1943, quarter 3","CSA","","","1945, quarter 2","","","","Yes, successfully","No","Split between starting nations","Chile","1938, quarter 1","Did not happen","Nobody","Did not end","","Nobody","","","Did not end","No","Iraq;Kurdistan;Armenia;Cyrenaica","Split between starting nations","No","Belgrade Pact","Did not happen","Did not happen","Did not happen","1942","1942","1941","Did not happen","Did not happen","No","Nobody","","Xinjiang Clique","1937","Mongolia and Tibet","1941","Left Kuomintang","Quarter 3, 1936"
"2022/11/05 6:06:13 PM GMT+4","Dev","The Alpha Dog","1945","CNT-FAI","1937, quarter 3","Indochina","1938, quarter 3","Nobody","","","","Nobody","","Did not end","Yes, sided with USA","Before 1939","1942, quarter 4","Internationale","Russia","1942, quarter 4","","","","No","1940, quarter 1","","","","","1938, quarter 4","","1938, quarter 4","No","No","No","Split between starting nations","Chile","1938, quarter 1","Did not happen","The Pact","1937, quarter 3","The Cairo Pact","","Nobody","","1939, quarter 1","No","Kurdistan;Assyria;Cyprus;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","1943","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Nobody","Did not end","Nanjing Clique","Quarter 1, 1937"
"2022/11/05 6:06:29 PM GMT+4","Dev","The Alpha Dog","1946","CNT-FAI","1937, quarter 4","GEA (with or without Vietnam)","1936, quarter 4","TEX","","TEX","","","","1941, quarter 2","Yes, declared war on CSA","Late 1940","1943, quarter 3","Reichspakt","Reichspakt","","1943, quarter 3","","","No","1940, quarter 4","","","","","Did not join","","Did not join","","Yes, successfully","No","Split between starting nations","Argentina","1939, quarter 3","Argentina","The Pact","1937, quarter 3","","Nobody","","","Did not end","No","Iraq;Kurdistan;Armenia;Cyrenaica","Bharatiya Commune","No","Belgrade Pact","1938, quarter 1","1942","Did not happen","1942","Did not happen","1945","1940","1944","No","Nobody","Could not push into China","Republic of East Turkestan","1940","Mongolia and Tibet","1940","Anqing Clique","Quarter 2, 1937"
"2022/11/05 6:06:45 PM GMT+4","Dev","The Alpha Dog","1946","CNT-FAI","1937, quarter 2","GEA (with or without Vietnam)","1938, quarter 3","CSA","","","","CSA","","1942, quarter 2","Yes, sided with NEE","Mid 1940","1940, quarter 4","Reichspakt","Reichspakt","","1940, quarter 4","1944, quarter 4","1945, quarter 3","Yes, during or after WK2","1940, quarter 2","1943, quarter 2","CSA","","","1941, quarter 1","","1941, quarter 2","No","No","No","Italian Republic/Federation","Chile","1938, quarter 1","Brazil","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Moscow Accord","1938, quarter 1","1941","Did not happen","1943","1944","Did not happen","Did not happen","1941","No","Nobody","Conquered only the coastal states","Republic of East Turkestan","1938","Ma Clique","1940","Nanjing Clique","Quarter 4, 1936"
"2022/11/05 6:07:00 PM GMT+4","Dev","The Alpha Dog","1945","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1936, quarter 4","USA","","","","","USA","1940, quarter 4","No","Late 1940","1944, quarter 3","Reichspakt","Reichspakt","","1944, quarter 3","1945, quarter 1","","No","1940, quarter 4","","","","","1940, quarter 4","","1940, quarter 4","No","Yes, successfully","Yes, successfully","Two Sicilies","Argentina","1939, quarter 2","Did not happen","The Pact","1938, quarter 4","The Cairo Pact","","","","1939, quarter 4","Yes, but OTT still lost the war","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","Yes","Moscow Accord","1940, quarter 2","1945","Did not happen","1941","1944","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","Could not push into China","Nobody","Did not end","Mongolia and Tibet","1938","Left Kuomintang","Quarter 1, 1937"
"2022/11/05 6:07:16 PM GMT+4","Dev","The Alpha Dog","1946","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1939, quarter 4","CSA","","","CSA","","","1944, quarter 1","No","Late 1940","1942, quarter 4","Reichspakt","Reichspakt","","1942, quarter 4","1946, quarter 3","","No","1940, quarter 4","","","","","Did not join","","Did not join","","No","No","Split between starting nations","Argentina","1938, quarter 2","Did not happen","The Pact","1937, quarter 2","The Cairo Pact","","","","1942, quarter 2","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","Yes","Moscow Accord","Did not happen","Did not happen","Did not happen","1941","1941","1941","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Ma Clique","1938","Left Kuomintang","Quarter 1, 1937"
"2022/11/05 6:07:32 PM GMT+4","Dev","The Alpha Dog","1945","Kingdom of Spain","1938, quarter 3","GEA (with or without Vietnam)","1938, quarter 2","USA","","USA","","","","1940, quarter 3","No","Late 1940","1941, quarter 2","Reichspakt","Reichspakt","","1941, quarter 2","1943, quarter 3","","No","1940, quarter 4","","","","","1942, quarter 3","","","","No","Yes, successfully","Split between starting nations","Chile","1938, quarter 1","Did not happen","Bulgaria","1938, quarter 1","Nobody","","","","Did not end","Yes, and the war did not end","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","Yes","Reichspakt","Did not happen","Did not happen","Did not happen","1942","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936"
"2022/11/05 6:07:48 PM GMT+4","Dev","The Alpha Dog","1945","CNT-FAI","1937, quarter 2","GEA (with or without Vietnam)","1937, quarter 3","USA","USA","","","","","1939, quarter 4","No","Early 1939","1940, quarter 4","Internationale","Russia","1940, quarter 4","","","","No","1940, quarter 3","","","1941, quarter 2","Someone else","1940, quarter 1","1941, quarter 3","1940, quarter 1","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy, with INT aid","Chile","1939, quarter 3","Did not happen","The Pact","1938, quarter 3","The Cairo Pact","","Nobody","","1940, quarter 1","No","Kurdistan;Cyprus;Armenia;Cyrenaica","Princely Federation/Hyderabad","Yes","Moscow Accord","1938, quarter 3","Did not happen","Did not happen","Did not happen","1942","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Ma Clique","1938","Nanjing Clique","Quarter 4, 1936"
"2022/11/05 6:08:01 PM GMT+4","Dev","The Alpha Dog","1946","CNT-FAI","1938, quarter 1","GEA (with or without Vietnam)","1939, quarter 1","USA","USA","","","","","1938, quarter 4","No","Early 1940","1941, quarter 4","Reichspakt","Reichspakt","","1941, quarter 4","","","No","1940, quarter 2","","","","","1942, quarter 4","","","","No","No","ANI Italy","Argentina","1938, quarter 4","Brazil","Bulgaria","1938, quarter 2","The Cairo Pact","","","","1939, quarter 1","Yes, but OTT still lost the war","Cyprus;Armenia","Princely Federation/Hyderabad","No","Moscow Accord","1938, quarter 4","Did not happen","Did not happen","After 1945","1942","1939","1942","Did not happen","Started by Transamur","Nobody","","Xinjiang Clique","1937","Nobody","Did not end","Left Kuomintang","Quarter 1, 1937"
"2022/11/05 6:08:15 PM GMT+4","Dev","The Alpha Dog","1945","Carlists","1945, quarter 1","Indochina","1942, quarter 1","USA","","","USA","","","1941, quarter 3","Yes, sided with USA","Late 1940","1944, quarter 2","Reichspakt","Reichspakt","","1944, quarter 2","","1944, quarter 1","No","1940, quarter 3","","","","","1941, quarter 2","","Did not join","","Yes, successfully","No","ANI Italy","Argentina","1938, quarter 3","Brazil","The Pact","1938, quarter 2","","Nobody","","","Did not end","No","Iraq;Kurdistan;Armenia;Cyrenaica","Dominion of India","No","Third Internationale","Did not happen","Did not happen","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","Started by Japan","Nobody","","Nobody","Did not end","Ma Clique","1941","Left Kuomintang","Quarter 4, 1936"
"2022/11/05 6:52:31 PM GMT+4","Dev","The Alpha Dog","1945","Carlists","1938, quarter 1","Indochina","1939, quarter 4","USA","","","USA","","","1941, quarter 1","Yes, sided with USA","Late 1940","1942, quarter 2","Reichspakt","Reichspakt","","1942, quarter 2","","","No","1941, quarter 1","","","","","Did not join","","Did not join","","Yes, successfully","No","Split between starting nations","Chile","1938, quarter 1","Did not happen","The Pact","1937, quarter 4","The Cairo Pact","","","","1942, quarter 4","No","Cyprus;Armenia;Cyrenaica","Bharatiya Commune","No","Moscow Accord","Did not happen","Did not happen","Did not happen","1942","1944","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Left Kuomintang","Quarter 1, 1937"
"2022/11/05 6:52:44 PM GMT+4","Dev","The Alpha Dog","1944","Carlists","1938, quarter 3","GEA (with or without Vietnam)","1936, quarter 4","USA","","USA","","","","1940, quarter 3","Yes, sided with USA","1941 or after","1942, quarter 2","Reichspakt","","","1942, quarter 2","1942, quarter 4","","No","1941, quarter 2","","","","","Did not join","","1941, quarter 4","No","Yes, successfully","Yes, successfully","Split between starting nations","Chile","1938, quarter 1","Did not happen","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Kurdistan;Armenia;Cyrenaica","Split between starting nations","No","Moscow Accord","1941, quarter 1","1942","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Japan","Nobody","Conquered only the coastal states","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Left Kuomintang","Quarter 1, 1937"
"2022/11/05 6:52:58 PM GMT+4","Dev","The Alpha Dog","1944","CNT-FAI","1937, quarter 2","GEA (with or without Vietnam)","1938, quarter 3","NEE","","","","","NEE","1941, quarter 3","Yes, sided with NEE","Late 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 4","","","","","1940, quarter 4","","1940, quarter 4","No","Yes, was repelled","Yes, was repelled","Split between starting nations","Chile","1938, quarter 2","Did not happen","The Pact","1937, quarter 2","","Nobody","","","Did not end","No","Kurdistan;Armenia;Cyrenaica","Princely Federation/Hyderabad","Yes","Moscow Accord","1939, quarter 2","1940","Did not happen","1940","Did not happen","1940","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Republic of East Turkestan","1941","Mongolia and Tibet","1940","Nanjing Clique","Quarter 1, 1937"
"2022/11/05 6:53:11 PM GMT+4","Dev","The Alpha Dog","1944","CNT-FAI","1937, quarter 4","Nobody","Did not end","USA","USA","","","","","1938, quarter 3","No","Late 1940","1942, quarter 1","Reichspakt","Reichspakt","","1942, quarter 1","","","No","1941, quarter 1","","","","","Did not join","","Did not join","","Yes, successfully","No","Split between starting nations","Chile","1938, quarter 1","Brazil","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","Did not happen","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Ma Clique","1942","Left Kuomintang","Quarter 1, 1937"
