"Метка часу","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","Who won the 3rd Boer War","When did the 2nd Weltkrieg start?","When did the 2nd Weltkrieg end?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","What tags revolted from National France over the course of the game? Check all that apply","Did National France land on the mainland?","Did Canada land on Britain?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","What path did Austria choose during Ausgleich?","Who won the Fourth Balkan War? If one side is close to winning put them down.","When did the Fourth Balkan War end?","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","When did the War in the Desert end?","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","What path did Russia take?","Who won the RCW?","When did the RCW end?","Who won the Battle for Shanxi?","What was SHX foreign policy towards QIE?","Did Shanxi make it to Contender stage?","As of 1.1.1939, what is the current ruling government of Poland?","If Poland revolted, which side rebelled?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When did German-Japanese war start?","Who won German-Japanese war?","If GEA lost in GEA-JAP war, when did it fall?","If JAP lost in GEA-JAP war, when did it fall?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","Did the GXC civil war happen?","Who won the GXC civil war?","When did the GXC civil war end?"
"2023/06/16 3:18:17 AM GMT+4","None of the above","Sheep","1944","Carlists","1937, quarter 4","GEA (with or without Vietnam)","1937, quarter 3","PSA","","","","","PSA","1941, quarter 2","No","Natal","Mid 1939","1942, quarter 4","Reichspakt","Reichspakt","","1942, quarter 4","1942, quarter 4","1943, quarter 3","No","1940, quarter 1","","","","","NGR;CHA","Yes, successfully","Yes, successfully","1940, quarter 1","","","","Italian Republic/Federation","Argentina","1938, quarter 3","Did not happen","Pluralism","Bulgaria","1939, quarter 1","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","Wrangel (Tsar)","","","Yan Xishan","Recognize the Central Government","No","Market Liberal","Socialists","Yes","Belgrade Pact","1938, quarter 2","1941","Did not happen","1939, quarter 4","JAP","1942, quarter 2","","Did not happen","1940","Did not happen","1939","1943","No","Japan (FNG is ally)","Conquered all of China","Republic of East Turkestan","1942","Ma Clique","1939","Nobody","Did not end","Avoided - Chen Mingshu","",""
"2023/06/16 10:28:39 PM GMT+4","Dev","The Alpha Dog","1946","CNT-FAI","1937, quarter 3","Did not happen","","USA","","","USA","","","1942, quarter 2","No","Natal","Late 1939","1946, quarter 3","Reichspakt","Nobody","","1946, quarter 3","","","No","1940, quarter 1","","","","","NGR;CHA","Yes, successfully","No","1939, quarter 4","","1939, quarter 4","No","Socialist Republic of Italy, on its own","Argentina","1938, quarter 3","Did not happen","Pluralism","The Pact","1938, quarter 1","The Cairo Pact","","","","1939, quarter 4","Yes, but OTT still lost the war","Armenia;Tripolitania;Cyrenaica","Dominion of India","Wrangel (Dictator)","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Social Conservative","Poland did not rebel","Yes","Moscow Accord","1938, quarter 4","1940","Did not happen","1939, quarter 4","Nobody","","","Did not happen","Did not happen","Did not happen","1939","1940","No","Nobody","Could not push into China","Nobody","Did not end","Mongolia and Tibet","1938","Left Kuomintang","Quarter 4, 1936","Avoided - Chen Mingshu","",""
"2023/06/16 10:34:14 PM GMT+4","Dev","The Alpha Dog","1945","Carlists","1938, quarter 2","Did not happen","","CSA","","","","","CSA","1941, quarter 2","Attacked CSA","Natal","Mid 1940","1941, quarter 1","Reichspakt","Reichspakt","","1941, quarter 1","","1942, quarter 3","Yes, during or after WK2","1940, quarter 3","1942, quarter 3","CSA","","","MLI;CHA","Yes, successfully","No","1940, quarter 2","","1940, quarter 2","No","Italian Republic/Federation","Chile","1938, quarter 1","Did not happen","Pluralism","The Pact","1937, quarter 1","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","Wrangel (Dictator)","","","Feng Yuxiang (balance of power)","Shanxi Marches On","No","Social Liberal/Social Democrat","Poland did not rebel","No","Moscow Accord","1938, quarter 3","1942","Did not happen","1940, quarter 2","Nobody","","","Did not happen","1940","Did not happen","1940","1941","Started by Japan","Nobody","Conquered all but the interior (Sichuan, Yunnan, Shanxi)","Kumul Khanate","1938","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936","Yes","Li Zongren","1937, quarter 1"
"2023/06/16 10:34:31 PM GMT+4","Dev","The Alpha Dog","1944","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1937, quarter 2","USA","","","USA","","","1939, quarter 4","No","","Mid 1940","1941, quarter 3","Reichspakt","Reichspakt","","1941, quarter 3","1942, quarter 1","1941, quarter 4","No","1940, quarter 3","","","1944, quarter 3","Reichspakt","","Yes, successfully","No","1940, quarter 3","","","","Two Sicilies","Chile","1938, quarter 2","Brazil","Pluralism","Bulgaria","1938, quarter 1","","The Ottoman Empire","","","1944, quarter 2","No","Armenia","Dominion of India","Wrangel (Dictator)","","","Feng Yuxiang (balance of power)","Shanxi Marches On","No","Social Liberal/Social Democrat","Socialists","No","Moscow Accord","1938, quarter 3","1942","1943","1940, quarter 3","GEA","","1943, quarter 2","1940","Did not happen","Did not happen","1939","1943","Started by Japan","Left-KMT","Pushed back (with or without the Fading Sun)","Nobody","Did not end","Mongolia and Tibet","1939","Left Kuomintang","Quarter 4, 1936","Avoided - Li Zongren","",""
"2023/06/16 10:34:49 PM GMT+4","Dev","The Alpha Dog","1946","Carlists","1938, quarter 1","Indochina","1940, quarter 4","PSA","","","PSA","","","1941, quarter 1","Sided with PSA","White peace","Mid 1940","1942, quarter 2","Reichspakt","Reichspakt","","1942, quarter 2","1945, quarter 2","1944, quarter 1","No","1940, quarter 2","","","","","CHA","Yes, successfully","Yes, successfully","1941, quarter 1","","","","Two Sicilies","Chile","1938, quarter 2","Brazil","Pluralism","Bulgaria","1938, quarter 2","The Cairo Pact","","","","1939, quarter 2","No","Kurdistan;Armenia;Cyrenaica","Dominion of India","Kirill Romanov (Tsar)","","","Yan Xishan","Recognize the Central Government","No","Authoritarian Democrat","Socialists","No","Moscow Accord","1938, quarter 2","1940","Did not happen","1940, quarter 3","Nobody","","","Did not happen","Did not happen","Did not happen","Did not happen","1942","Started by Japan","Nobody","Could not push into China","Kumul Khanate","1938","Ma Clique","1939","Nanjing Clique","Quarter 3, 1936","Avoided - Chen Mingshu","",""
"2023/06/16 10:45:41 PM GMT+4","Dev","The Alpha Dog","1946","Carlists","1937, quarter 4","GEA (with or without Vietnam)","1939, quarter 3","USA","","","USA","","","1941, quarter 1","Sided with USA","South Africa","Early 1940","1941, quarter 1","Reichspakt","Reichspakt","","1941, quarter 1","Treaty of London","1944, quarter 1","No","1940, quarter 2","","","","","","Yes, successfully","No","1940, quarter 2","","1940, quarter 2","No","Two Sicilies","Argentina","1939, quarter 1","Did not happen","Pluralism","The Pact","1938, quarter 1","","The Cairo Pact","","","1940, quarter 2","Yes, but OTT still lost the war","Armenia;Cyrenaica","Dominion of India","Wrangel (Dictator)","","","Feng Yuxiang (mission timeout)","Did not decide a foreign policy","No","Social Liberal/Social Democrat","Socialists","No","Moscow Accord","1938, quarter 1","Did not happen","Did not happen","1940, quarter 2","JAP","1941, quarter 1","","1940","1940","1942","1938","Did not happen","No","Nobody","","Nobody","Did not end","Ma Clique","1937","Left Kuomintang","Quarter 4, 1936","Avoided - Li Zongren","",""
"2023/06/16 10:45:58 PM GMT+4","Dev","The Alpha Dog","1946","Carlists","1938, quarter 3","Did not happen","","USA","","","USA","","","1942, quarter 1","Attacked CSA","South Africa","Early 1940","Did not end","Nobody","Reichspakt","","","","1944, quarter 3","No","1940, quarter 2","","","","","NGR;CHA","Yes, was repelled","No","Did not join","","1942, quarter 3","Yes, before WK2","Socialist Republic of Italy, on its own","Chile","1938, quarter 3","Did not happen","Pluralism","The Pact","1939, quarter 1","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","Wrangel (Dictator)","","","Yan Xishan","Recognize the Central Government","No","Social Conservative","Poland did not rebel","Yes","Belgrade Pact","1939, quarter 1","1941","Did not happen","1940, quarter 2","Nobody","","","Did not happen","Did not happen","1940","1939","Did not happen","Started by Japan","Nobody","Conquered only the coastal states","Nobody","Did not end","Mongolia and Tibet","1938","Left Kuomintang","Quarter 4, 1936","Yes","Chen Mingshu","1937, quarter 3"
"2023/06/16 10:46:16 PM GMT+4","Dev","The Alpha Dog","1946","Carlists","1938, quarter 2","Did not happen","","CSA","","","","","CSA","1941, quarter 1","Sided with PSA","","Late 1939","1943, quarter 2","Reichspakt","Reichspakt","","1943, quarter 2","1945, quarter 1","1946, quarter 2","No","1940, quarter 4","","","","","NGR;CHA","Yes, successfully","No","Did not join","","Did not join","","ANI Italy","Argentina","1939, quarter 1","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Kurdistan;Armenia;Tripolitania","Puppeted by a foreign power","Socialist Revolt","Socialist Russia","1938, quarter 3","Yan Xishan","Recognize the Central Government","No","Social Liberal/Social Democrat","Poland did not rebel","No","Belgrade Pact","1939, quarter 1","1942","Did not happen","1939, quarter 4","JAP","1943, quarter 2","","1939","1938","Did not happen","1941","1943","No","Fengtian alone","Conquered all of China","Nobody","Did not end","Mongolia and Tibet","1937","Shandong Clique","Quarter 1, 1937","Yes","Li Zongren","1938, quarter 4"
"2023/06/16 10:57:08 PM GMT+4","Dev","The Alpha Dog","1941","Carlists","1938, quarter 3","Did not happen","","CSA","","","CSA","","","1940, quarter 3","Attacked CSA","Natal","Early 1940","1941, quarter 1","Reichspakt","Nobody","","1941, quarter 1","","","Yes, during or after WK2","1940, quarter 2","1941, quarter 3","CSA","","","CHA","Yes, successfully","No","Did not join","","1941, quarter 1","No","Split between starting nations","Chile","1939, quarter 4","Did not happen","Pluralism","The Pact","1937, quarter 1","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Armenia;Tripolitania;Cyrenaica","Dominion of India","Wrangel (Dictator)","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Market Liberal","Poland did not rebel","Yes","Belgrade Pact","1938, quarter 4","Did not happen","Did not happen","1940, quarter 3","Nobody","","","1941","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 1, 1937","Yes","Li Zongren","1937, quarter 2"
"2023/06/16 10:57:25 PM GMT+4","Dev","The Alpha Dog","1947","Carlists","1938, quarter 3","Did not happen","","CSA","","","","","CSA","1941, quarter 1","Attacked CSA","","Mid 1939","1947, quarter 1","Reichspakt","Reichspakt","","1947, quarter 1","","1945, quarter 4","Yes, during or after WK2","1940, quarter 1","1942, quarter 1","CSA","","","CHA","Yes, successfully","No","1940, quarter 1","","1940, quarter 1","No","ANI Italy","Argentina","1938, quarter 3","Argentina","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 2","No","Kurdistan;Cyprus;Armenia;Cyrenaica","Dominion of India","Socialist Revolt","Socialist Russia","1937, quarter 3","Yan Xishan","Recognize the Central Government","No","Market Liberal","Poland did not rebel","No","Belgrade Pact","1938, quarter 4","1941","Did not happen","1939, quarter 4","Nobody","","","1941","1940","Did not happen","Did not happen","1944","Started by Japan","Japan (FNG is ally)","Conquered all of China","Kumul Khanate","1938","Ma Clique","1938","Nanjing Clique","Quarter 1, 1937","Yes","Chen Jiongming","1937, quarter 2"
"2023/06/19 1:23:23 PM GMT+4","Dev","The Alpha Dog","1946","Carlists","1938, quarter 1","Did not happen","","USA","","","USA","","","1941, quarter 4","Attacked CSA","South Africa","Mid 1940","1943, quarter 2","Reichspakt","Reichspakt","","1943, quarter 2","1943, quarter 1","1944, quarter 2","No","1940, quarter 4","","","","","CHA","Yes, successfully","Yes, successfully","1940, quarter 2","","","","Italian Republic/Federation","Chile","1938, quarter 1","Brazil","Pluralism","Bulgaria","1938, quarter 4","","The Ottoman Empire","","","1942, quarter 1","No","Armenia;Cyrenaica","Dominion of India","Wrangel (Dictator)","","","Yan Xishan","Recognize the Central Government","No","Market Liberal","Poland did not rebel","Yes","Moscow Accord","1938, quarter 4","1941","1945","1940, quarter 2","Nobody","","","Did not happen","1939","1939","1939","1941","Started by Japan","Federalists","Pushed back (with or without the Fading Sun)","Nobody","Did not end","Ma Clique","1938","Anqing Clique","Quarter 1, 1937","Yes","Chen Jiongming","1937, quarter 2"
"2023/06/19 1:28:58 PM GMT+4","Dev","The Alpha Dog","1947","Kingdom of Spain","1938, quarter 4","Did not happen","","CSA","","","CSA","","","1940, quarter 3","No","South Africa","Mid 1939","1941, quarter 2","Internationale","Russia","1941, quarter 2","","","","Yes, during or after WK2","1940, quarter 1","1941, quarter 2","CSA","1941, quarter 4","FRA","CHA","Yes, was repelled","No","1939, quarter 4","1941, quarter 2","1939, quarter 4","Yes, during or after WK2","Socialist Republic of Italy, on its own","Chile","1938, quarter 2","Did not happen","Pluralism","The Pact","1939, quarter 3","","The Cairo Pact","","","1940, quarter 1","No","Iraq;Armenia;Cyrenaica","Dominion of India","Wrangel (Dictator)","","","Yan Xishan","Recognize the Central Government","No","Social Liberal/Social Democrat","Poland did not rebel","Yes","Moscow Accord","1938, quarter 3","1943","Did not happen","1939, quarter 3","Nobody","","","Did not happen","1941","Did not happen","1942","1943","Started by Russia","Nobody","Could not push into China","Xinjiang Clique","1937","Mongolia and Tibet","1938","Left Kuomintang","Quarter 1, 1937","Yes","Li Zongren","1937, quarter 2"
"2023/06/20 12:06:11 AM GMT+4","Dev","The Alpha Dog","1946","Kingdom of Spain","1939, quarter 1","GEA (with or without Vietnam)","1936, quarter 4","TEX","","","","","TEX","1942, quarter 4","Sided with NEE","","Mid 1940","1942, quarter 2","Reichspakt","Nobody","","1942, quarter 2","1943, quarter 2","","No","1940, quarter 3","","","","","MLI;NGR;CHA","No","No","1940, quarter 4","","","","Italian Republic/Federation","Chile","1938, quarter 1","Did not happen","Pluralism","Bulgaria","1938, quarter 1","The Cairo Pact","","","","1940, quarter 4","No","Kurdistan;Assyria;Armenia;Tripolitania;Cyrenaica","Dominion of India","Socialist Revolt","Socialist Russia","1936, quarter 4","Feng Yuxiang (mission timeout)","Did not decide a foreign policy","No","Authoritarian Democrat","Poland did not rebel","No","Belgrade Pact","1938, quarter 4","1940","Did not happen","1940, quarter 4","JAP","1941, quarter 3","","Did not happen","1940","1938","Did not happen","1943","No","Japan (FNG is ally)","Conquered all of China","Kumul Khanate","1937","Mongolia and Tibet","1938","Nanjing Clique","Quarter 1, 1937","Yes","Chen Jiongming","1937, quarter 1"
"2023/06/20 12:06:28 AM GMT+4","Dev","The Alpha Dog","1947","CNT-FAI","1938, quarter 2","Did not happen","","TEX","","","","","TEX","1940, quarter 3","No","White peace","Late 1940","1941, quarter 4","Reichspakt","Nobody","","1941, quarter 4","","","No","1940, quarter 4","","","","","CHA","Yes, successfully","Yes, was repelled","1943, quarter 1","","1943, quarter 1","No","Two Sicilies","Argentina","1940, quarter 2","Did not happen","Pluralism","The Pact","1937, quarter 3","The Cairo Pact","","","","1939, quarter 2","No","Kurdistan;Cyprus;Armenia;Cyrenaica","Dominion of India","Savinkov","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Social Liberal/Social Democrat","Poland did not rebel","No","Reichspakt","1939, quarter 1","Did not happen","Did not happen","1940, quarter 4","Nobody","","","Did not happen","1944","1944","1941","1942","No","Nobody","","Xinjiang Clique","1937","Ma Clique","1938","Nanjing Clique","Quarter 4, 1936","Avoided - Li Zongren","",""
"2023/06/20 12:06:46 AM GMT+4","Dev","The Alpha Dog","1947","Carlists","1938, quarter 3","GEA (with or without Vietnam)","1936, quarter 4","USA","","","","","USA","1945, quarter 3","Sided with PSA","","Early 1940","1941, quarter 2","Reichspakt","Reichspakt","","1941, quarter 2","1942, quarter 4","1943, quarter 1","No","1945, quarter 3","","","","","MLI;NGR;CHA","No","Yes, successfully","Did not join","","","","Italian Republic/Federation","Argentina","1939, quarter 2","Did not happen","Pluralism","Bulgaria","1939, quarter 3","The Cairo Pact","","","","1939, quarter 3","No","Kurdistan;Assyria;Armenia;Cyrenaica","Dominion of India","Socialist Revolt","Socialist Russia","1937, quarter 2","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Social Liberal/Social Democrat","Poland did not rebel","No","Belgrade Pact","1938, quarter 4","Did not happen","Did not happen","1940, quarter 2","Nobody","","","1941","Did not happen","1939","1939","1939","Started by Japan","Nobody","","Nobody","Did not end","Ma Clique","1938","Left Kuomintang","Quarter 4, 1936","Yes","Chen Jiongming","1937, quarter 1"
"2023/06/20 12:07:03 AM GMT+4","Dev","The Alpha Dog","1946","CNT-FAI","1937, quarter 4","Did not happen","","PSA","","","PSA","","","1940, quarter 3","Attacked CSA","White peace","Mid 1940","1941, quarter 4","Reichspakt","Reichspakt","","1941, quarter 4","1943, quarter 1","1943, quarter 4","No","1940, quarter 2","","","1942, quarter 3","Reichspakt","CHA","Yes, successfully","No","Did not join","","Did not join","","Two Sicilies","Argentina","1938, quarter 1","Brazil","Pluralism","The Pact","1938, quarter 4","","The Ottoman Empire","","","1943, quarter 4","Yes, and OTT won the war","Assyria;Armenia;Cyrenaica","Dominion of India","Wrangel (Dictator)","","","The Manchu Coup","Shanxi Marches On","No","Market Liberal","Poland did not rebel","No","Moscow Accord","1939, quarter 1","Did not happen","Did not happen","1940, quarter 3","Nobody","","","Did not happen","Did not happen","Did not happen","1939","1940","Started by Japan","Nobody","","Nobody","Did not end","Ma Clique","1938","Nanjing Clique","Quarter 4, 1936","Yes","Chen Jiongming","1937, quarter 1"
"2023/06/20 12:07:20 AM GMT+4","Dev","The Alpha Dog","1947","Carlists","1938, quarter 2","GEA (with or without Vietnam)","1938, quarter 3","CSA","","","","","CSA","1940, quarter 3","No","","Mid 1939","1940, quarter 2","Reichspakt","Reichspakt","","1940, quarter 2","1945, quarter 1","1945, quarter 1","Yes, during or after WK2","1939, quarter 3","1941, quarter 3","CSA","","","MLI;NGR;CHA","No","No","Did not join","","Did not join","","Split between starting nations","Argentina","1940, quarter 2","Argentina","Pluralism","The Pact","1939, quarter 4","The Cairo Pact","","","","1939, quarter 2","No","Kurdistan;Assyria;Armenia;Cyrenaica","Dominion of India","Socialist Revolt","Socialist Russia","1937, quarter 2","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Social Liberal/Social Democrat","Socialists","No","Belgrade Pact","1938, quarter 1","1942","Did not happen","1939, quarter 4","JAP","1942, quarter 4","","1942","1938","1943","1940","Did not happen","No","Japan (FNG is ally)","Conquered only the coastal states","Kumul Khanate","1943","Ma Clique","1938","Shandong Clique","Quarter 1, 1937","Yes","Ma Ji","1937, quarter 1"
"2023/06/20 12:18:11 AM GMT+4","Dev","The Alpha Dog","1946","Carlists","1938, quarter 4","Did not happen","","CSA","","","","","CSA","1940, quarter 4","Attacked CSA","","Mid 1940","1946, quarter 3","Internationale","Russia","1946, quarter 3","","","","Yes, during or after WK2","1940, quarter 3","1943, quarter 1","CSA","","","NGR;CHA","No","No","1944, quarter 4","1946, quarter 3","1944, quarter 4","Yes, during or after WK2","Socialist Republic of Italy, with INT aid","Chile","1939, quarter 3","Brazil","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia","Dominion of India","Savinkov","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Authoritarian Democrat","Socialists","No","Reichspakt","1938, quarter 3","1942","Did not happen","1940, quarter 3","JAP","1941, quarter 4","","Did not happen","Did not happen","Did not happen","1939","1940","Started by Russia","Nobody","Conquered all of China","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 1, 1937","Avoided - Li Zongren","",""
"2023/06/20 10:50:53 PM GMT+4","Dev","The Alpha Dog","1946","Carlists","1938, quarter 1","Did not happen","","USA","","","USA","","","1941, quarter 2","Attacked CSA","","Late 1940","1942, quarter 3","Reichspakt","Reichspakt","","1942, quarter 3","1946, quarter 1","1943, quarter 3","No","1940, quarter 4","","","","","NGR;CHA","Yes, successfully","Yes, successfully","Did not join","","Did not join","","Italian Republic/Federation","Argentina","1938, quarter 4","Did not happen","Pluralism","The Pact","1937, quarter 2","","The Ottoman Empire","","","1943, quarter 2","Yes, and OTT won the war","Iraq;Kurdistan;Armenia;Cyrenaica","Dominion of India","Wrangel (Dictator)","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Market Liberal","Poland did not rebel","Yes","Moscow Accord","1938, quarter 2","1942","Did not happen","1940, quarter 4","Nobody","","","1942","1938","1942","1940","Did not happen","Started by Japan","Nobody","Conquered all of China","Nobody","Did not end","Ma Clique","1941","Shandong Clique","Quarter 1, 1937","Yes","Chen Jiongming","1937, quarter 1"
"2023/06/20 10:56:26 PM GMT+4","Dev","The Alpha Dog","1946","Carlists","1937, quarter 4","Did not happen","","NEE","","","","","NEE","1941, quarter 1","Sided with NEE","","Mid 1940","Did not end","Nobody","Nobody","","","","","No","Did not join","","","","","NGR;CHA","Yes, was repelled","No","Did not join","","Did not join","","Socialist Republic of Italy, with INT aid","Chile","1938, quarter 1","Did not happen","Pluralism","The Pact","1937, quarter 2","","The Cairo Pact","","","1939, quarter 3","Yes, but OTT still lost the war","Armenia;Cyrenaica","Dominion of India","Wrangel (Dictator)","","","Yan Xishan","Recognize the Central Government","No","Social Conservative","Poland did not rebel","Yes","Moscow Accord","1938, quarter 4","1942","Did not happen","1940, quarter 3","Nobody","","","Did not happen","Did not happen","Did not happen","Did not happen","1943","No","Nobody","Could not push into China","Xinjiang Clique","1937","Ma Clique","1941","Nanjing Clique","Quarter 4, 1936","Yes","Li Zongren","1937, quarter 3"
"2023/06/20 11:07:18 PM GMT+4","Dev","The Alpha Dog","1947","Carlists","1938, quarter 3","GEA (with or without Vietnam)","1936, quarter 4","CSA","","","","","CSA","1940, quarter 4","Sided with NEE","","Late 1940","1942, quarter 4","Reichspakt","Reichspakt","","1942, quarter 4","","","No","1940, quarter 4","","","","","CHA","Yes, successfully","Yes, was repelled","1940, quarter 4","","1940, quarter 4","No","Italian Republic/Federation","Argentina","1941, quarter 4","Did not happen","Pluralism","The Pact","1937, quarter 4","The Cairo Pact","","","","1940, quarter 1","Yes, but OTT still lost the war","Kurdistan;Assyria;Armenia;Cyrenaica","Dominion of India","Kirill Romanov (Tsar)","","","Yan Xishan","Shanxi Marches On","No","Authoritarian Democrat","Socialists","Yes","Third Internationale","1939, quarter 1","1945","Did not happen","1940, quarter 4","JAP","1943, quarter 4","","1941","1938","1944","1942","Did not happen","No","Nobody","Conquered all but the interior (Sichuan, Yunnan, Shanxi)","Xinjiang Clique","1937","Mongolia and Tibet","1938","Anqing Clique","Quarter 4, 1936","Yes","Ma Ji","1937, quarter 1"
"2023/06/20 11:07:35 PM GMT+4","Dev","The Alpha Dog","1946","Carlists","1938, quarter 1","GEA (with or without Vietnam)","1936, quarter 4","CSA","","","CSA","","","1940, quarter 4","No","White peace","Mid 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 2","","","","","NGR;CHA","Yes, was repelled","No","Did not join","","Did not join","","Split between starting nations","Argentina","1939, quarter 1","Did not happen","Pluralism","The Pact","1938, quarter 2","The Cairo Pact","","","","1940, quarter 2","Yes, but OTT still lost the war","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","Kirill Romanov (Tsar)","","","Feng Yuxiang (balance of power)","Shanxi Marches On","No","Authoritarian Democrat","Poland did not rebel","No","Moscow Accord","1938, quarter 2","Did not happen","Did not happen","1940, quarter 3","Nobody","","","1941","Did not happen","Did not happen","1940","1940","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Nobody","Did not end","Yes","Chen Jiongming","1937, quarter 2"
"2023/06/20 11:07:52 PM GMT+4","Dev","The Alpha Dog","1946","CNT-FAI","1938, quarter 1","GEA (with or without Vietnam)","1936, quarter 4","USA","","","USA","","","1941, quarter 4","Attacked CSA","","Mid 1940","1943, quarter 2","Internationale","Russia","1943, quarter 2","","","","No","1940, quarter 3","","","1942, quarter 1","FRA","TUN;MLI;NGR;CHA;VOL;MRT","Yes, was repelled","No","1941, quarter 1","1943, quarter 2","1941, quarter 1","Yes, during or after WK2","Socialist Republic of Italy, on its own","Argentina","1939, quarter 2","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1940, quarter 3","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia","Dominion of India","Republic","","","Yan Xishan","Shanxi Marches On","No","Market Liberal","Poland did not rebel","Yes","Moscow Accord","1938, quarter 2","1945","Did not happen","1940, quarter 3","Nobody","","","1940","1940","1945","Did not happen","1945","Started by Russia","Nobody","Conquered only the coastal states","Xinjiang Clique","1937","Ma Clique","1938","Nanjing Clique","Quarter 3, 1936","Yes","Chen Mingshu","1937, quarter 4"
